date,XLV.US
2019-11-18,86.4861
2019-11-19,87.0738
2019-11-20,86.9581
2019-11-21,87.1807
2019-11-22,87.4923
2019-11-25,88.5163
2019-11-26,88.4450
2019-11-27,88.8992
2019-11-29,88.5875
2019-12-02,88.1957
2019-12-03,87.9998
2019-12-04,88.8190
2019-12-05,88.8190
2019-12-06,89.4067
2019-12-09,88.7834
2019-12-10,88.9793
2019-12-11,89.0594
2019-12-12,89.8875
2019-12-13,89.8252
2019-12-16,90.7957
2019-12-17,90.6978
2019-12-18,90.8225
2019-12-19,91.1786
2019-12-20,91.8242
2019-12-23,92.1907
2019-12-24,92.0745
2019-12-26,92.0119
2019-12-27,92.0388
2019-12-30,91.4862
2019-12-31,91.6662
2020-01-02,91.9092
2020-01-03,91.1082
2020-01-06,91.6752
2020-01-07,91.4952
2020-01-08,92.0891
2020-01-09,92.4851
2020-01-10,92.5121
2020-01-13,92.1881
2020-01-14,92.7461
2020-01-15,93.5470
2020-01-16,94.0330
2020-01-17,94.0330
2020-01-21,94.1320
2020-01-22,94.2490
2020-01-23,93.7720
2020-01-24,92.2061
2020-01-27,91.5042
2020-01-28,91.9542
2020-01-29,91.7022
2020-01-30,91.0362
2020-01-31,89.2184
2020-02-03,90.0283
2020-02-04,91.6122
2020-02-05,93.3760
2020-02-06,93.4570
2020-02-07,92.7281
2020-02-10,93.2231
2020-02-11,93.7810
2020-02-12,93.8980
2020-02-13,93.4570
2020-02-14,93.5290
2020-02-18,93.1961
2020-02-19,93.6280
2020-02-20,93.0251
2020-02-21,93.0791
2020-02-24,90.1453
2020-02-25,87.4095
2020-02-26,87.4005
2020-02-27,84.4308
2020-02-28,83.3419
2020-03-02,87.2476
2020-03-03,85.0787
2020-03-04,89.9833
2020-03-05,87.8955
2020-03-06,87.4275
2020-03-09,82.8829
2020-03-10,85.7267
2020-03-11,82.4510
2020-03-12,76.2955
2020-03-13,81.5870
2020-03-16,73.5417
2020-03-17,78.1583
2020-03-18,75.5666
2020-03-19,74.0187
2020-03-20,71.1749
2020-03-23,67.4782
2020-03-24,72.6779
2020-03-25,73.6455
2020-03-26,78.5377
2020-03-27,76.8557
2020-03-30,80.4548
2020-03-31,80.1021
2020-04-01,77.0546
2020-04-02,79.1888
2020-04-03,78.4744
2020-04-06,82.5889
2020-04-07,81.9107
2020-04-08,85.2837
2020-04-09,85.7539
2020-04-13,85.0033
2020-04-14,87.8247
2020-04-15,87.3726
2020-04-16,89.2806
2020-04-17,91.1344
2020-04-20,90.4110
2020-04-21,87.6620
2020-04-22,89.0003
2020-04-23,89.4886
2020-04-24,90.6913
2020-04-27,91.8579
2020-04-28,90.0041
2020-04-29,90.6009
2020-04-30,90.1849
2020-05-01,88.4668
2020-05-04,88.4216
2020-05-05,90.3387
2020-05-06,89.4434
2020-05-07,89.4344
2020-05-08,89.8956
2020-05-11,91.4419
2020-05-12,90.0493
2020-05-13,89.0727
2020-05-14,90.0493
2020-05-15,90.8089
2020-05-18,91.5595
2020-05-19,90.4562
2020-05-20,90.5647
2020-05-21,89.8956
2020-05-22,90.0855
2020-05-26,89.9227
2020-05-27,90.8541
2020-05-28,92.0387
2020-05-29,93.1510
2020-06-01,92.2286
2020-06-02,92.7622
2020-06-03,92.5813
2020-06-04,91.8488
2020-06-05,93.3319
2020-06-08,93.9739
2020-06-09,92.9973
2020-06-10,92.8526
2020-06-11,87.6891
2020-06-12,88.2588
2020-06-15,88.4577
2020-06-16,90.6371
2020-06-17,90.5467
2020-06-18,90.2392
2020-06-19,91.1073
2020-06-22,90.7577
2020-06-23,91.1482
2020-06-24,88.7689
2020-06-25,89.6407
2020-06-26,88.5509
2020-06-29,89.3501
2020-06-30,90.8757
2020-07-01,91.5750
2020-07-02,92.2652
2020-07-06,93.2005
2020-07-07,92.3923
2020-07-08,92.4014
2020-07-09,91.6749
2020-07-10,91.4569
2020-07-13,91.9746
2020-07-14,93.7999
2020-07-15,95.0168
2020-07-16,94.8624
2020-07-17,96.1610
2020-07-20,96.1428
2020-07-21,96.0793
2020-07-22,96.9420
2020-07-23,96.5061
2020-07-24,95.4436
2020-07-27,96.1610
2020-07-28,96.0520
2020-07-29,97.0600
2020-07-30,96.3880
2020-07-31,95.8341
2020-08-03,96.8239
2020-08-04,96.3971
2020-08-05,96.8421
2020-08-06,96.3245
2020-08-07,96.6332
2020-08-10,96.3063
2020-08-11,95.6979
2020-08-12,97.3052
2020-08-13,97.1781
2020-08-14,96.9874
2020-08-17,97.5595
2020-08-18,97.5323
2020-08-19,97.2144
2020-08-20,96.9057
2020-08-21,97.0056
2020-08-24,96.5606
2020-08-25,97.2144
2020-08-26,97.0964
2020-08-27,97.8592
2020-08-28,98.0771
2020-08-31,98.3133
2020-09-01,97.4324
2020-09-02,99.3848
2020-09-03,96.6786
2020-09-04,95.9885
2020-09-08,94.4083
2020-09-09,96.0793
2020-09-10,94.6081
2020-09-11,94.9805
2020-09-14,96.3426
2020-09-15,96.4698
2020-09-16,96.3063
2020-09-17,95.9885
2020-09-18,95.8432
2020-09-21,94.0726
2020-09-22,93.8720
2020-09-23,92.9056
2020-09-24,92.4406
2020-09-25,93.9267
2020-09-28,94.7746
2020-09-29,94.6561
2020-09-30,96.1696
2020-10-01,95.8413
2020-10-02,94.9661
2020-10-05,96.9172
2020-10-06,95.6316
2020-10-07,97.4369
2020-10-08,97.9110
2020-10-09,98.7954
2020-10-12,99.4700
2020-10-13,98.7133
2020-10-14,98.1389
2020-10-15,97.4278
2020-10-16,98.3942
2020-10-19,96.8351
2020-10-20,96.9628
2020-10-21,96.4796
2020-10-22,97.9383
2020-10-23,98.3030
2020-10-26,97.2089
2020-10-27,96.5434
2020-10-28,93.4800
2020-10-29,92.7141
2020-10-30,92.6867
2020-11-02,94.3552
2020-11-03,95.7319
2020-11-04,99.9806
2020-11-05,100.1812
2020-11-06,100.2177
2020-11-09,101.1567
2020-11-10,101.4485
2020-11-11,101.3209
2020-11-12,100.9470
2020-11-13,102.2235
2020-11-16,102.0502
2020-11-17,101.3847
2020-11-18,99.4974
2020-11-19,99.4245
2020-11-20,99.1965
2020-11-23,98.9412
2020-11-24,99.2330
2020-11-25,98.8683
2020-11-27,99.7800
2020-11-30,100.0535
2020-12-01,100.8923
