date,XLY.US
2018-11-21,47.6458
2018-11-23,47.4319
2018-11-26,48.4966
2018-11-27,48.6408
2018-11-28,50.0774
2018-11-29,49.8449
2018-11-30,50.2076
2018-12-03,51.1467
2018-12-04,49.3056
2018-12-06,49.5427
2018-12-07,48.0596
2018-12-10,48.0968
2018-12-11,48.1154
2018-12-12,48.6222
2018-12-13,48.3804
2018-12-14,47.5761
2018-12-17,46.3673
2018-12-18,46.7299
2018-12-19,45.8047
2018-12-20,44.7772
2018-12-21,43.7625
2018-12-24,42.9317
2018-12-26,45.4755
2018-12-27,45.7182
2018-12-28,45.7228
2018-12-31,46.2129
2019-01-02,46.5630
2019-01-03,45.5548
2019-01-04,47.0624
2019-01-07,48.1266
2019-01-08,48.6587
2019-01-09,48.9061
2019-01-10,48.7660
2019-01-11,48.8127
2019-01-14,48.5140
2019-01-15,48.9527
2019-01-16,48.8407
2019-01-17,49.1721
2019-01-18,49.8536
2019-01-22,49.1068
2019-01-23,49.2048
2019-01-24,49.4102
2019-01-25,49.9563
2019-01-28,49.6669
2019-01-29,49.3448
2019-01-30,50.3157
2019-01-31,50.7731
2019-02-01,50.0309
2019-02-04,50.3577
2019-02-05,50.8291
2019-02-06,50.6190
2019-02-07,50.2036
2019-02-08,50.0029
2019-02-11,50.0916
2019-02-12,50.8618
2019-02-13,51.2072
2019-02-14,51.0205
2019-02-15,51.3705
2019-02-19,51.5806
2019-02-20,51.6832
2019-02-21,51.5806
2019-02-22,51.8606
2019-02-25,51.6879
2019-02-26,51.7579
2019-02-27,51.7206
2019-02-28,51.4405
2019-03-01,51.8559
2019-03-04,51.6926
2019-03-05,51.8233
2019-03-06,51.5806
2019-03-07,50.9551
2019-03-08,50.6004
2019-03-11,51.2958
2019-03-12,51.4405
2019-03-13,51.6226
2019-03-14,51.4685
2019-03-15,51.7987
2019-03-18,52.2998
2019-03-19,52.5621
2019-03-20,52.6370
2019-03-21,53.3583
2019-03-22,52.2998
2019-03-25,52.6089
2019-03-26,52.8338
2019-03-27,52.7260
2019-03-28,53.0445
2019-03-29,53.3208
