date,XLP.US
2019-02-07,43.8861
2019-02-08,44.0910
2019-02-11,44.2058
2019-02-12,44.5500
2019-02-13,44.6320
2019-02-14,44.1320
2019-02-15,44.5500
2019-02-19,44.7795
2019-02-20,44.6976
2019-02-21,44.8287
2019-02-22,44.6156
2019-02-25,44.3697
2019-02-26,44.3943
2019-02-27,44.3287
2019-02-28,44.5418
2019-03-01,44.4599
2019-03-04,44.3861
2019-03-05,44.3533
2019-03-06,44.2877
2019-03-07,44.0008
2019-03-08,44.0254
2019-03-11,44.5992
2019-03-12,44.6156
2019-03-13,44.8697
2019-03-14,44.8287
2019-03-15,45.0826
2019-03-18,45.1485
2019-03-19,45.1155
2019-03-20,44.9260
2019-03-21,45.4534
2019-03-22,45.3958
2019-03-25,45.4864
2019-03-26,45.8738
2019-03-27,45.7172
2019-03-28,45.9397
2019-03-29,46.2447
2019-04-01,46.0881
2019-04-02,45.7089
2019-04-03,45.4864
2019-04-04,45.6595
2019-04-05,45.8161
2019-04-08,46.0056
2019-04-09,45.9480
2019-04-10,46.0798
2019-04-11,46.1705
2019-04-12,46.3188
2019-04-15,46.5908
2019-04-16,46.5991
2019-04-17,46.8298
2019-04-18,46.8710
2019-04-22,46.8875
2019-04-23,46.7392
2019-04-24,46.8381
2019-04-25,46.5414
2019-04-26,46.9617
2019-04-29,47.0194
2019-04-30,47.5633
2019-05-01,46.9782
2019-05-02,46.9617
2019-05-03,47.3161
2019-05-06,47.2419
2019-05-07,46.7721
2019-05-08,46.7639
2019-05-09,46.6650
2019-05-10,47.2337
2019-05-13,46.7886
2019-05-14,47.0111
2019-05-15,47.3820
2019-05-16,47.7529
2019-05-17,47.5963
2019-05-20,47.4809
2019-05-21,47.3820
2019-05-22,47.5963
2019-05-23,47.5798
2019-05-24,47.4067
2019-05-28,46.6320
2019-05-29,46.2941
2019-05-30,46.4919
2019-05-31,45.8326
2019-06-03,46.4095
2019-06-04,46.8298
2019-06-05,47.3655
2019-06-06,47.8600
2019-06-07,48.3216
2019-06-10,48.3381
2019-06-11,48.4947
2019-06-12,48.5688
2019-06-13,48.6760
2019-06-14,48.7007
2019-06-17,48.5606
2019-06-18,48.2969
2019-06-19,48.4947
2019-06-20,48.9232
2019-06-21,48.7646
2019-06-24,48.8892
2019-06-25,48.8643
2019-06-26,48.1667
2019-06-27,48.2580
2019-06-28,48.2248
2019-07-01,48.5155
2019-07-02,48.9390
2019-07-03,49.5453
2019-07-05,49.3293
2019-07-08,49.3958
2019-07-09,49.1051
2019-07-10,49.4207
2019-07-11,49.5453
2019-07-12,49.6864
2019-07-15,49.8027
2019-07-16,49.8193
2019-07-17,49.7612
2019-07-18,50.0934
2019-07-19,49.7778
2019-07-22,49.4871
2019-07-23,49.8442
2019-07-24,49.5120
2019-07-25,49.5785
2019-07-26,50.1349
2019-07-29,50.2262
2019-07-30,50.3757
2019-07-31,49.3542
2019-08-01,49.1798
2019-08-02,49.1882
2019-08-05,47.9092
2019-08-06,48.3411
2019-08-07,48.9058
2019-08-08,49.5369
2019-08-09,49.2629
2019-08-12,48.9307
2019-08-13,49.4871
2019-08-14,48.7065
2019-08-15,49.4373
2019-08-16,50.0020
2019-08-19,50.5003
2019-08-20,49.9522
2019-08-21,50.0851
2019-08-22,50.3508
2019-08-23,49.5120
2019-08-26,50.1266
2019-08-27,49.9854
2019-08-28,50.4671
2019-08-29,50.4920
2019-08-30,50.4255
2019-09-03,50.7162
2019-09-04,51.1730
2019-09-05,50.8574
2019-09-06,51.0235
2019-09-09,50.9072
2019-09-10,50.5916
2019-09-11,50.7743
2019-09-12,50.9819
2019-09-13,50.6913
2019-09-16,50.2013
2019-09-17,50.4754
2019-09-18,50.5584
2019-09-19,50.5501
2019-09-20,50.3897
2019-09-23,50.5902
2019-09-24,50.7990
2019-09-25,50.8325
2019-09-26,51.1165
2019-09-27,51.0580
2019-09-30,51.3086
2019-10-01,51.1750
2019-10-02,50.1475
2019-10-03,50.4983
2019-10-04,51.2919
2019-10-07,50.8742
2019-10-08,50.3897
2019-10-09,50.7740
2019-10-10,50.8742
2019-10-11,50.8241
2019-10-14,50.5735
2019-10-15,50.3563
2019-10-16,50.4064
2019-10-17,50.6403
2019-10-18,50.7406
2019-10-21,50.9076
2019-10-22,50.9244
2019-10-23,51.1583
2019-10-24,51.3337
2019-10-25,51.0330
2019-10-28,50.9327
2019-10-29,50.9327
2019-10-30,51.1666
2019-10-31,51.0914
2019-11-01,51.0831
2019-11-04,50.5902
2019-11-05,50.7573
2019-11-06,50.9661
2019-11-07,50.7907
2019-11-08,50.7573
2019-11-11,50.6821
2019-11-12,50.8492
2019-11-13,51.2334
2019-11-14,51.2167
2019-11-15,51.2334
2019-11-18,51.5008
2019-11-19,51.4339
2019-11-20,51.5509
2019-11-21,51.2919
2019-11-22,51.2084
2019-11-25,51.2669
2019-11-26,51.6845
2019-11-27,51.8099
2019-11-29,51.7931
2019-12-02,51.9101
2019-12-03,51.8266
2019-12-04,52.1691
2019-12-05,52.1524
2019-12-06,52.3528
2019-12-09,52.3946
2019-12-10,52.2275
2019-12-11,52.3027
2019-12-12,52.2610
2019-12-13,52.4447
2019-12-16,52.6285
2019-12-17,52.5450
2019-12-18,52.4614
2019-12-19,52.7455
2019-12-20,53.1438
2019-12-23,52.9164
2019-12-24,52.9838
2019-12-26,53.0343
2019-12-27,53.2702
2019-12-30,52.9922
2019-12-31,53.0428
2020-01-02,52.6217
2020-01-03,52.5374
2020-01-06,52.6469
2020-01-07,52.2427
2020-01-08,52.4364
2020-01-09,52.8070
2020-01-10,52.7733
2020-01-13,53.1186
2020-01-14,53.1354
2020-01-15,53.5144
2020-01-16,53.6576
2020-01-17,53.7502
2020-01-21,53.9355
2020-01-22,53.9776
2020-01-23,53.9271
2020-01-24,53.5565
2020-01-27,53.3881
2020-01-28,53.4555
2020-01-29,53.1859
2020-01-30,53.8176
2020-01-31,53.2112
2020-02-03,53.2112
2020-02-04,53.5313
2020-02-05,53.9608
2020-02-06,54.0534
2020-02-07,54.1208
2020-02-10,54.3482
2020-02-11,54.1461
2020-02-12,54.1208
2020-02-13,54.4408
2020-02-14,54.5672
2020-02-18,54.3735
2020-02-19,54.3145
2020-02-20,54.3566
2020-02-21,54.4493
2020-02-24,53.1944
2020-02-25,52.2342
2020-02-26,51.9395
2020-02-27,49.8255
2020-02-28,48.8401
2020-03-02,51.4510
2020-03-03,50.7519
2020-03-04,53.2449
2020-03-05,52.2427
2020-03-06,51.8300
2020-03-09,49.5728
2020-03-10,50.9962
2020-03-11,48.4948
2020-03-12,43.9384
2020-03-13,47.6779
2020-03-16,44.4437
2020-03-17,48.1916
2020-03-18,46.9535
2020-03-19,45.3870
2020-03-20,42.4477
2020-03-23,41.1915
2020-03-24,43.2922
2020-03-25,43.1736
2020-03-26,45.5368
2020-03-27,45.3251
2020-03-30,47.0954
2020-03-31,46.1382
2020-04-01,45.3590
2020-04-02,46.5194
2020-04-03,46.8836
2020-04-06,48.6285
2020-04-07,48.0695
2020-04-08,48.7810
2020-04-09,49.2384
2020-04-13,48.8742
2020-04-14,50.9494
2020-04-15,50.1447
2020-04-16,50.4751
2020-04-17,51.2459
2020-04-20,50.2379
2020-04-21,49.1706
2020-04-22,49.6450
2020-04-23,49.2045
