date,XLRE.US
2020-07-01,29.2026
2020-07-02,29.1046
2020-07-06,29.1373
2020-07-07,28.6636
2020-07-08,28.6473
2020-07-09,28.5493
2020-07-10,28.5820
2020-07-13,28.1328
2020-07-14,28.4105
2020-07-15,28.5411
2020-07-16,28.2063
2020-07-17,28.5983
2020-07-20,28.3288
2020-07-21,28.3370
2020-07-22,28.6800
2020-07-23,28.5330
2020-07-24,28.4186
2020-07-27,28.7535
2020-07-28,29.3333
2020-07-29,29.8886
2020-07-30,29.6436
2020-07-31,29.6109
2020-08-03,29.1373
2020-08-04,29.5701
2020-08-05,29.3496
2020-08-06,29.4068
2020-08-07,29.8069
2020-08-10,29.7579
2020-08-11,29.1863
2020-08-12,29.5538
2020-08-13,29.2108
2020-08-14,29.2843
2020-08-17,29.5456
2020-08-18,29.5129
2020-08-19,28.9086
2020-08-20,29.2189
2020-08-21,29.3169
2020-08-24,29.3578
2020-08-25,29.4476
2020-08-26,29.2434
2020-08-27,29.6354
2020-08-28,29.8641
2020-08-31,29.6027
2020-09-01,29.5538
2020-09-02,30.2152
2020-09-03,29.7089
2020-09-04,29.6027
2020-09-08,29.2271
2020-09-09,29.5456
2020-09-10,29.1291
2020-09-11,29.0311
2020-09-14,29.7416
2020-09-15,30.1336
2020-09-16,30.3295
2020-09-17,29.6599
2020-09-18,29.0719
2020-09-21,28.2939
2020-09-22,28.6307
2020-09-23,27.8092
2020-09-24,27.9407
2020-09-25,28.4829
2020-09-28,28.9758
2020-09-29,28.8279
2020-09-30,28.9758
2020-10-01,29.4523
2020-10-02,29.9288
2020-10-05,30.0931
2020-10-06,29.8384
2020-10-07,29.9206
2020-10-08,30.4217
2020-10-09,30.3396
2020-10-12,30.4956
2020-10-13,29.9781
2020-10-14,29.6330
2020-10-15,29.7727
2020-10-16,29.6659
2020-10-19,29.1976
2020-10-20,29.3948
2020-10-21,29.2880
2020-10-22,29.0826
2020-10-23,29.2716
2020-10-26,28.9183
2020-10-27,28.5486
2020-10-28,27.9160
2020-10-29,28.2364
2020-10-30,28.0557
2020-11-02,28.7458
2020-11-03,29.1976
2020-11-04,29.2798
2020-11-05,29.3866
2020-11-06,29.2716
2020-11-09,30.0438
2020-11-10,30.2081
2020-11-11,30.4381
2020-11-12,30.1260
2020-11-13,30.8161
2020-11-16,31.0132
2020-11-17,31.0297
2020-11-18,30.5039
2020-11-19,30.5532
2020-11-20,30.3478
2020-11-23,30.2492
2020-11-24,30.2328
2020-11-25,30.3067
2020-11-27,30.2492
