date,XLC.US
2021-03-10,69.5720
2021-03-11,70.8875
2021-03-12,70.6887
2021-03-15,71.1903
2021-03-16,71.9380
2021-03-17,71.9475
2021-03-18,70.7550
2021-03-19,71.3702
2021-03-22,71.9703
2021-03-23,71.4394
2021-03-24,69.6380
2021-03-25,69.2967
2021-03-26,68.5382
2021-03-29,69.2398
2021-03-30,69.2398
2021-03-31,69.5147
2021-04-01,70.7093
2021-04-05,72.1979
2021-04-06,72.3780
2021-04-07,72.9374
2021-04-08,72.9469
2021-04-09,72.9279
2021-04-12,72.6340
2021-04-13,72.7288
2021-04-14,71.9798
2021-04-15,72.8995
2021-04-16,72.8520
2021-04-19,72.4444
2021-04-20,72.0556
2021-04-21,72.1789
2021-04-22,71.6480
2021-04-23,72.4823
2021-04-26,72.6340
2021-04-27,72.3401
2021-04-28,73.0037
2021-04-29,75.0232
2021-04-30,73.9992
2021-05-03,73.6105
2021-05-04,72.9469
2021-05-05,72.8046
2021-05-06,73.6579
2021-05-07,74.2173
2021-05-10,72.7952
2021-05-11,72.5866
2021-05-12,71.1644
2021-05-13,71.6764
2021-05-14,73.0891
2021-05-17,72.5107
2021-05-18,71.7712
2021-05-19,71.8850
2021-05-20,73.1175
2021-05-21,72.8710
2021-05-24,74.1983
2021-05-25,74.1794
2021-05-26,74.6629
2021-05-27,74.9473
2021-05-28,74.7008
2021-06-01,74.7482
2021-06-02,74.5207
2021-06-03,74.0182
2021-06-04,75.0801
2021-06-07,75.4688
2021-06-08,75.2507
2021-06-09,75.1749
2021-06-10,75.5826
2021-06-11,75.6679
2021-06-14,76.1704
2021-06-15,75.7343
2021-06-16,75.0706
2021-06-17,75.3835
2021-06-18,74.5017
2021-06-21,75.2245
2021-06-22,75.8704
2021-06-23,75.7944
2021-06-24,76.5068
2021-06-25,76.6018
2021-06-28,77.4661
2021-06-29,77.0482
2021-06-30,76.9057
2021-07-01,77.4756
2021-07-02,78.0170
2021-07-06,77.8270
2021-07-07,77.7130
2021-07-08,76.8582
2021-07-09,77.5421
2021-07-12,78.0930
2021-07-13,77.8935
2021-07-14,77.8365
2021-07-15,77.2856
2021-07-16,76.8012
2021-07-19,75.6330
2021-07-20,76.4878
2021-07-21,77.1242
2021-07-22,77.3901
2021-07-23,79.3087
2021-07-26,79.7171
2021-07-27,78.7673
2021-07-28,79.3847
2021-07-29,78.5299
2021-07-30,78.2639
2021-08-02,78.0835
2021-08-03,77.7320
2021-08-04,77.9505
2021-08-05,78.6628
2021-08-06,78.6628
2021-08-09,78.5204
2021-08-10,78.6723
2021-08-11,78.8243
2021-08-12,78.9668
2021-08-13,79.0143
2021-08-16,79.1472
2021-08-17,78.4919
2021-08-18,77.8935
2021-08-19,77.9030
2021-08-20,78.5774
2021-08-23,79.5272
2021-08-24,79.7836
2021-08-25,79.9071
2021-08-26,79.2137
2021-08-27,80.4675
2021-08-30,81.0184
2021-08-31,81.3223
2021-09-01,81.7307
2021-09-02,81.1798
2021-09-03,81.1798
2021-09-07,81.3698
2021-09-08,80.9519
2021-09-09,80.5529
2021-09-10,80.0306
2021-09-13,80.2300
2021-09-14,79.5367
2021-09-15,79.9261
2021-09-16,79.8501
2021-09-17,78.9668
2021-09-20,77.3798
2021-09-21,77.0563
2021-09-22,77.0182
2021-09-23,77.8079
2021-09-24,78.4454
2021-09-27,78.4359
2021-09-28,76.5235
2021-09-29,76.4569
2021-09-30,76.2190
2021-10-01,77.5035
2021-10-04,75.8290
2021-10-05,76.9612
2021-10-06,77.0944
2021-10-07,77.4274
2021-10-08,77.0468
2021-10-11,75.8860
2021-10-12,75.1820
2021-10-13,75.5340
2021-10-14,76.5996
2021-10-15,76.4188
2021-10-18,77.0087
2021-10-19,77.7508
2021-10-20,77.9031
2021-10-21,78.1314
2021-10-22,76.4759
2021-10-25,76.8089
2021-10-26,76.1239
2021-10-27,75.9146
2021-10-28,76.1620
2021-10-29,76.3998
2021-11-01,76.5235
2021-11-02,76.5330
2021-11-03,76.8089
2021-11-04,77.1134
2021-11-05,77.7318
2021-11-08,77.3893
2021-11-09,77.1990
2021-11-10,76.3237
2021-11-11,76.1715
2021-11-12,77.2846
2021-11-15,77.5035
2021-11-16,76.9231
2021-11-17,76.6282
2021-11-18,76.0763
2021-11-19,75.8194
2021-11-22,74.8966
2021-11-23,74.6968
2021-11-24,74.8014
2021-11-26,73.4314
2021-11-29,74.0593
2021-11-30,71.7093
2021-12-01,70.0538
2021-12-02,71.2336
2021-12-03,71.0718
2021-12-06,72.2421
2021-12-07,72.9842
2021-12-08,73.5170
2021-12-09,72.9366
2021-12-10,72.9747
2021-12-13,72.5941
2021-12-14,72.4038
2021-12-15,73.1650
2021-12-16,73.0603
2021-12-17,72.7654
2021-12-20,72.2572
2021-12-21,73.6301
2021-12-22,73.8112
2021-12-23,74.4691
2021-12-27,75.1936
2021-12-28,75.1555
2021-12-29,74.7837
2021-12-30,75.0983
2021-12-31,74.0591
2022-01-03,74.5739
2022-01-04,74.4119
2022-01-05,72.5432
2022-01-06,72.8674
2022-01-07,72.8769
2022-01-10,72.4193
2022-01-11,73.3250
2022-01-12,73.4203
2022-01-13,72.6576
2022-01-14,72.9913
2022-01-18,72.1047
2022-01-19,71.9807
2022-01-20,71.2657
2022-01-21,68.8536
2022-01-24,69.3589
2022-01-25,67.9384
2022-01-26,66.9468
2022-01-27,67.0231
2022-01-28,68.9394
2022-01-31,70.5030
2022-02-01,71.1131
2022-02-02,72.5337
2022-02-03,67.6809
2022-02-04,67.8526
2022-02-07,66.6704
2022-02-08,66.6417
2022-02-09,68.5199
2022-02-10,67.5379
2022-02-11,66.0793
2022-02-14,66.0888
2022-02-15,67.0136
2022-02-16,66.5464
2022-02-17,64.7731
2022-02-18,64.2678
2022-02-22,63.6100
2022-02-23,62.5422
2022-02-24,64.2964
2022-02-25,65.3356
2022-02-28,65.2593
2022-03-01,64.4394
2022-03-02,64.9924
2022-03-03,64.3155
2022-03-04,63.3907
2022-03-07,61.2837
2022-03-08,61.1312
2022-03-09,62.9617
2022-03-10,62.4945
2022-03-11,61.3695
2022-03-14,60.6545
2022-03-15,61.8176
2022-03-16,63.5242
2022-03-17,64.2106
2022-03-18,65.0496
2022-03-21,64.4407
2022-03-22,65.6451
2022-03-23,64.7466
2022-03-24,65.8076
2022-03-25,66.1230
2022-03-28,66.3332
2022-03-29,67.4898
2022-03-30,67.0119
2022-03-31,65.7406
2022-04-01,66.2281
2022-04-04,68.0537
2022-04-05,67.1839
2022-04-06,65.9318
2022-04-07,65.3583
2022-04-08,65.0716
2022-04-11,64.2305
2022-04-12,63.7048
2022-04-13,64.6415
2022-04-14,63.5423
2022-04-18,63.3320
2022-04-19,64.5937
2022-04-20,61.7931
2022-04-21,60.0345
2022-04-22,58.6103
2022-04-25,59.4132
2022-04-26,57.4633
2022-04-27,56.1825
2022-04-28,58.4287
2022-04-29,56.4502
2022-05-02,58.0081
2022-05-03,58.1611
2022-05-04,60.1587
2022-05-05,57.9412
2022-05-06,56.7465
2022-05-09,55.2745
2022-05-10,55.5230
2022-05-11,54.5194
2022-05-12,55.1120
2022-05-13,56.4024
2022-05-16,56.0392
2022-05-17,57.2626
2022-05-18,55.3892
2022-05-19,55.3128
2022-05-20,55.4561
2022-05-23,56.2877
2022-05-24,54.2900
2022-05-25,55.0165
2022-05-26,56.3546
2022-05-27,57.5589
2022-05-31,57.5207
2022-06-01,56.8612
2022-06-02,58.2471
2022-06-03,56.9854
2022-06-06,57.2722
2022-06-07,57.6832
2022-06-08,57.5302
2022-06-09,55.7620
2022-06-10,54.2040
2022-06-13,51.6424
2022-06-14,51.4991
2022-06-15,52.6556
2022-06-16,50.7344
2022-06-17,51.4608
2022-06-21,51.8243
2022-06-22,51.9106
2022-06-23,52.5525
2022-06-24,54.5550
2022-06-27,54.0376
2022-06-28,52.4663
2022-06-29,52.6292
2022-06-30,51.9968
2022-07-01,52.5238
2022-07-05,53.7406
2022-07-06,53.7502
2022-07-07,54.5933
2022-07-08,54.3346
2022-07-11,52.6866
2022-07-12,52.6579
2022-07-13,52.4184
2022-07-14,51.7573
2022-07-15,53.0891
2022-07-18,52.8208
2022-07-19,54.6987
2022-07-20,55.5993
2022-07-21,55.5706
2022-07-22,53.6448
2022-07-25,53.4627
2022-07-26,52.3896
2022-07-27,54.6029
2022-07-28,53.9801
2022-07-29,54.0088
2022-08-01,53.9322
2022-08-02,53.8460
2022-08-03,55.1394
2022-08-04,55.3789
2022-08-05,54.6987
2022-08-08,55.0149
2022-08-09,54.4783
2022-08-10,56.0113
2022-08-11,56.0688
2022-08-12,57.0652
2022-08-15,57.2664
2022-08-16,57.3814
2022-08-17,56.2700
2022-08-18,56.1838
2022-08-19,55.2736
2022-08-22,53.6927
2022-08-23,53.2328
2022-08-24,53.5489
2022-08-25,54.5933
2022-08-26,52.8495
2022-08-29,52.4375
2022-08-30,51.9776
2022-08-31,52.1022
2022-09-01,52.5813
2022-09-02,51.5848
2022-09-06,50.9429
2022-09-07,51.9681
2022-09-08,51.8435
2022-09-09,53.2903
2022-09-12,53.5681
2022-09-13,50.6267
2022-09-14,50.7129
2022-09-15,50.4926
2022-09-16,49.9560
2022-09-19,50.2441
2022-09-20,49.4664
2022-09-21,48.2566
2022-09-22,48.0838
2022-09-23,47.1524
2022-09-26,46.3843
2022-09-27,46.1347
2022-09-28,47.7093
2022-09-29,46.5475
2022-09-30,45.9810
2022-10-03,47.2676
2022-10-04,48.7174
2022-10-05,48.3430
2022-10-06,48.0838
2022-10-07,46.7876
2022-10-10,46.6627
2022-10-11,45.7890
2022-10-12,45.7314
2022-10-13,46.8356
2022-10-14,46.0675
2022-10-17,47.3348
2022-10-18,47.6901
2022-10-19,47.7285
2022-10-20,47.8437
2022-10-21,48.1510
2022-10-24,48.4870
2022-10-25,49.7736
2022-10-26,48.1990
2022-10-27,45.9138
2022-10-28,47.0756
2022-10-31,46.2883
2022-11-01,45.9906
2022-11-02,44.6945
2022-11-03,43.5999
2022-11-04,43.8975
2022-11-07,44.6849
2022-11-08,44.7329
2022-11-09,44.1280
2022-11-10,46.7972
2022-11-11,48.0261
2022-11-14,47.8341
2022-11-15,48.5446
2022-11-16,48.0645
2022-11-17,47.6997
