date,XLK.US
2019-01-07,29.0129
2019-01-08,29.2561
2019-01-09,29.6348
2019-01-10,29.7657
2019-01-11,29.7096
2019-01-14,29.4337
2019-01-15,29.8779
2019-01-16,29.9060
2019-01-17,30.0977
2019-01-18,30.5559
2019-01-22,30.0416
2019-01-23,30.1444
2019-01-24,30.3969
2019-01-25,30.8271
2019-01-28,30.4156
2019-01-29,30.0883
2019-01-30,31.0235
2019-01-31,30.9908
2019-02-01,31.1731
2019-02-04,31.6734
2019-02-05,31.9399
2019-02-06,32.0475
2019-02-07,31.6080
2019-02-08,31.7903
2019-02-11,31.7763
2019-02-12,32.1971
2019-02-13,32.2392
2019-02-14,32.2953
2019-02-15,32.5524
2019-02-19,32.5618
2019-02-20,32.5992
2019-02-21,32.6132
2019-02-22,33.0294
2019-02-25,33.1883
2019-02-26,33.2585
2019-02-27,33.2258
2019-02-28,33.1322
2019-03-01,33.3567
2019-03-04,33.2304
2019-03-05,33.1322
2019-03-06,32.9592
2019-03-07,32.6460
2019-03-08,32.6413
2019-03-11,33.3426
2019-03-12,33.5390
2019-03-13,33.7588
2019-03-14,33.8289
2019-03-15,34.2384
2019-03-18,34.3839
2019-03-19,34.4542
2019-03-20,34.3604
2019-03-21,35.2235
2019-03-22,34.3932
2019-03-25,34.2431
2019-03-26,34.4308
2019-03-27,34.2337
2019-03-28,34.3745
2019-03-29,34.7122
2019-04-01,35.1860
2019-04-02,35.3079
2019-04-03,35.5941
2019-04-04,35.4440
2019-04-05,35.6129
2019-04-08,35.7489
2019-04-09,35.5800
2019-04-10,35.8286
2019-04-11,35.7817
2019-04-12,36.0303
2019-04-15,36.0163
2019-04-16,36.1992
2019-04-17,36.4009
2019-04-18,36.5041
2019-04-22,36.5885
2019-04-23,36.9873
2019-04-24,37.0013
2019-04-25,36.9920
2019-04-26,36.8512
2019-04-29,36.8606
2019-04-30,36.9216
2019-05-01,36.8278
2019-05-02,36.6355
2019-05-03,36.9826
2019-05-06,36.6964
2019-05-07,35.9084
2019-05-08,35.8662
2019-05-09,35.6222
2019-05-10,35.7348
2019-05-13,34.3885
2019-05-14,34.9421
2019-05-15,35.3220
2019-05-16,35.6457
2019-05-17,35.3595
2019-05-20,34.7450
2019-05-21,35.1719
2019-05-22,34.9890
2019-05-23,34.3745
2019-05-24,34.3839
2019-05-28,34.2853
2019-05-29,34.0836
2019-05-30,34.2947
2019-05-31,33.7224
2019-06-03,33.1314
2019-06-04,34.2384
2019-06-05,34.6841
2019-06-06,35.0875
2019-06-07,35.7395
2019-06-10,36.1054
2019-06-11,36.1054
2019-06-12,35.9037
2019-06-13,36.0116
2019-06-14,35.6973
2019-06-17,35.7254
2019-06-18,36.3728
2019-06-19,36.5041
2019-06-20,37.0389
2019-06-21,36.8638
2019-06-24,36.9344
2019-06-25,36.2565
2019-06-26,36.6472
2019-06-27,36.7414
2019-06-28,36.7366
2019-07-01,37.3204
2019-07-02,37.4192
2019-07-03,37.7064
2019-07-05,37.6358
2019-07-08,37.3486
2019-07-09,37.4804
2019-07-10,37.7770
2019-07-11,37.9182
2019-07-12,38.1959
2019-07-15,38.3230
2019-07-16,37.9653
2019-07-17,37.8664
2019-07-18,38.1489
