date,XLU.US
2020-10-28,26.3818
2020-10-29,26.4532
2020-10-30,26.2053
2020-11-02,26.7809
2020-11-03,27.1673
2020-11-04,26.7599
2020-11-05,26.9993
2020-11-06,26.9405
2020-11-09,27.4404
2020-11-10,27.8353
2020-11-11,27.9403
2020-11-12,27.4908
2020-11-13,27.7639
2020-11-16,28.0453
2020-11-17,27.4950
2020-11-18,26.9573
2020-11-19,26.6884
2020-11-20,26.6926
2020-11-23,26.6968
2020-11-24,26.9825
2020-11-25,27.0539
2020-11-27,26.7851
2020-11-30,26.3986
2020-12-01,26.5834
2020-12-02,26.7599
2020-12-03,26.4826
2020-12-04,26.2179
2020-12-07,26.3650
2020-12-08,26.2852
2020-12-09,26.2389
2020-12-10,26.1045
2020-12-11,26.1465
2020-12-14,26.0121
2020-12-15,26.5246
2020-12-16,26.2179
2020-12-17,26.3944
2020-12-18,26.1675
2020-12-21,25.8506
2020-12-22,25.7998
2020-12-23,25.7490
2020-12-24,25.9311
2020-12-28,26.0455
2020-12-29,26.0413
2020-12-30,26.1726
2020-12-31,26.5624
2021-01-04,25.8930
2021-01-05,25.8888
2021-01-06,26.5327
2021-01-07,26.1853
2021-01-08,26.4056
2021-01-11,26.1599
2021-01-12,26.0201
2021-01-13,26.5285
2021-01-14,26.4268
2021-01-15,26.6852
2021-01-19,26.5835
2021-01-20,26.7403
2021-01-21,26.5835
2021-01-22,26.6217
2021-01-25,27.1555
2021-01-26,26.8843
2021-01-27,26.1599
2021-01-28,26.4734
2021-01-29,26.3294
2021-02-01,26.4565
2021-02-02,26.6725
2021-02-03,26.5878
2021-02-04,26.7954
2021-02-05,26.9394
2021-02-08,26.7318
2021-02-09,26.7699
2021-02-10,26.8759
2021-02-11,26.7233
2021-02-12,26.5285
2021-02-16,26.2319
2021-02-17,26.2531
2021-02-18,26.4099
2021-02-19,26.0159
2021-02-22,25.5075
2021-02-23,25.7193
2021-02-24,25.4185
2021-02-25,25.1898
2021-02-26,24.7238
2021-03-01,25.2703
2021-03-02,25.1940
2021-03-03,24.8975
2021-03-04,24.8763
2021-03-05,25.2830
2021-03-08,25.6388
2021-03-09,25.9777
2021-03-10,26.1557
2021-03-11,26.0879
2021-03-12,26.4395
2021-03-15,26.7784
2021-03-16,26.8123
2021-03-17,26.3760
2021-03-18,26.2785
2021-03-19,26.3505
2021-03-22,26.3126
2021-03-23,26.7052
2021-03-24,26.7138
2021-03-25,26.9997
2021-03-26,27.0893
2021-03-29,27.3796
2021-03-30,27.1320
2021-03-31,27.3326
2021-04-01,27.3070
2021-04-05,27.6058
2021-04-06,27.7509
2021-04-07,27.7167
2021-04-08,27.6954
2021-04-09,27.6655
2021-04-12,27.6911
2021-04-13,28.0198
2021-04-14,28.1436
2021-04-15,28.4551
2021-04-16,28.6856
2021-04-19,28.5405
2021-04-20,28.9033
2021-04-21,28.6600
2021-04-22,28.4551
2021-04-23,28.4167
2021-04-26,28.2545
2021-04-27,28.0369
2021-04-28,27.9984
2021-04-29,28.2545
2021-04-30,28.4765
2021-05-03,28.4722
2021-05-04,28.3655
2021-05-05,27.8875
2021-05-06,28.1009
2021-05-07,28.1862
2021-05-10,28.4722
2021-05-11,28.1222
2021-05-12,27.4649
2021-05-13,27.9942
2021-05-14,28.1307
2021-05-17,27.9003
2021-05-18,27.8960
2021-05-19,27.8491
2021-05-20,28.0923
2021-05-21,28.2375
2021-05-24,28.1862
2021-05-25,27.8448
2021-05-26,27.8491
2021-05-27,27.6613
2021-05-28,27.8106
2021-06-01,27.6399
2021-06-02,27.7850
2021-06-03,27.9515
2021-06-04,27.9088
2021-06-07,27.9600
2021-06-08,27.7210
2021-06-09,27.9686
2021-06-10,28.1521
2021-06-11,28.2161
2021-06-14,28.2759
2021-06-15,28.3612
2021-06-16,27.9344
2021-06-17,28.0881
2021-06-18,27.3582
2021-06-21,27.7127
2021-06-22,27.5449
2021-06-23,27.2524
2021-06-24,27.2266
2021-06-25,27.5191
2021-06-28,27.6954
2021-06-29,27.2481
2021-06-30,27.1965
2021-07-01,27.4933
2021-07-02,27.5363
2021-07-06,27.6524
2021-07-07,27.8331
2021-07-08,27.7514
2021-07-09,27.7858
2021-07-12,27.8761
2021-07-13,27.6653
2021-07-14,27.9062
2021-07-15,28.2202
2021-07-16,28.5041
2021-07-19,28.0524
2021-07-20,28.1729
2021-07-21,27.8632
2021-07-22,27.9062
2021-07-23,28.2632
2021-07-26,28.2718
2021-07-27,28.7578
2021-07-28,28.5385
2021-07-29,28.6159
2021-07-30,28.3750
2021-08-02,28.5944
2021-08-03,28.7578
2021-08-04,28.7148
2021-08-05,29.0288
2021-08-06,29.0116
2021-08-09,29.0030
2021-08-10,29.0331
2021-08-11,29.3041
2021-08-12,29.3342
2021-08-13,29.5407
2021-08-16,29.7213
