date,XLI.US
2019-03-20,65.8010
2019-03-21,66.4330
2019-03-22,64.9288
2019-03-25,65.0801
2019-03-26,65.5162
2019-03-27,65.5874
2019-03-28,66.0680
2019-03-29,66.7801
2019-04-01,68.1596
2019-04-02,68.1329
2019-04-03,67.9282
2019-04-04,68.3466
2019-04-05,68.5424
2019-04-08,68.2486
2019-04-09,67.3230
2019-04-10,67.3052
2019-04-11,67.8837
2019-04-12,68.7827
2019-04-15,68.4000
2019-04-16,68.8183
2019-04-17,68.9073
2019-04-18,69.6994
2019-04-22,69.4858
2019-04-23,70.0910
2019-04-24,69.8863
2019-04-25,68.4801
2019-04-26,68.9963
2019-04-29,69.1565
2019-04-30,69.4324
2019-05-01,68.9785
2019-05-02,68.9429
2019-05-03,69.7795
2019-05-06,69.1120
2019-05-07,67.7146
2019-05-08,67.7146
2019-05-09,67.6167
2019-05-10,67.8837
2019-05-13,65.9523
2019-05-14,66.6377
2019-05-15,66.7267
2019-05-16,67.3408
2019-05-17,66.5932
2019-05-20,66.4241
2019-05-21,67.2073
2019-05-22,66.6555
2019-05-23,65.6408
2019-05-24,65.6675
2019-05-28,65.0623
2019-05-29,64.7686
2019-05-30,65.0178
2019-05-31,64.1277
2019-06-03,64.5639
2019-06-04,66.1036
2019-06-05,66.7445
2019-06-06,66.8602
2019-06-07,67.3942
2019-06-10,67.4832
2019-06-11,66.9047
2019-06-12,67.0471
2019-06-13,67.3853
2019-06-14,67.1183
2019-06-17,66.8869
2019-06-18,68.1863
2019-06-19,68.1329
2019-06-20,69.2722
2019-06-21,68.9030
2019-06-24,68.7689
2019-06-25,68.2505
2019-06-26,68.4203
2019-06-27,68.4829
2019-06-28,69.2069
2019-07-01,69.2695
2019-07-02,69.1801
2019-07-03,69.5645
2019-07-05,69.2874
2019-07-08,68.7153
2019-07-09,68.5633
2019-07-10,68.4024
2019-07-11,68.8673
2019-07-12,70.0740
2019-07-15,69.7880
2019-07-16,70.2349
2019-07-17,68.7332
2019-07-18,68.8583
2019-07-19,69.2338
2019-07-22,69.2874
2019-07-23,70.1634
2019-07-24,70.4674
2019-07-25,70.3243
2019-07-26,70.1724
2019-07-29,70.0472
2019-07-30,70.3512
2019-07-31,69.5645
2019-08-01,68.2147
2019-08-02,67.7767
2019-08-05,65.8995
2019-08-06,66.8917
2019-08-07,66.8559
2019-08-08,67.9912
2019-08-09,67.4191
2019-08-12,66.4894
2019-08-13,67.2850
2019-08-14,65.2290
2019-08-15,65.1575
2019-08-16,66.4179
2019-08-19,67.0437
2019-08-20,66.6503
